"product_attribute_set_gui.attribute_set","Attribute set"
"product_attribute_set_gui.name","Name"
"product_attribute_set_gui.attributes","Attributes"
"product_attribute_set_gui.choose_attribute_set","Choose an attribute set"
"product_attribute_set_gui.product_attribute_set","Product Attribute Sets"
"product_attribute_set_gui.create_product_attribute_set","Create Product Attribute Set"
"product_attribute_set_gui.edit_product_attribute_set","Edit Product Attribute Set"
"product_attribute_set_gui.product_attribute_set_list","List of Attribute Sets"
"product_attribute_set_gui.product_attribute_set_successfully_created","Product attribute set successfully created"
"product_attribute_set_gui.product_attribute_set_successfully_deleted","Product attribute set successfully deleted"
"product_attribute_set_gui.add_attribute_set","Add Attribute Set"
"product_attribute_set_gui.attributes","Attributes"
"product_attribute_set_gui.name","Name"
"product_attribute_set_gui.view","View"
"product_attribute_set_gui.add","Add"
"product_attribute_set_gui.edit","Edit"
"product_attribute_set_gui.delete","Delete"
"Attribute Sets","Attribute Sets"
