"product_attribute_set_gui.attribute_set","Conjunto de atributos"
"product_attribute_set_gui.name","Nombre"
"product_attribute_set_gui.attributes","Atributo"
"product_attribute_set_gui.choose_attribute_set","Elija un conjunto de atributos"
"product_attribute_set_gui.product_attribute_set","Conjuntos de Atributos del Producto"
"product_attribute_set_gui.create_product_attribute_set","Crear Conjunto de Atributos del Producto"
"product_attribute_set_gui.edit","Editar el conjunto de atributos del producto"
"product_attribute_set_gui.product_attribute_set_list","Lista de Conjuntos de Atributos"
"product_attribute_set_gui.product_attribute_set_successfully_created","Conjunto de Atributos del Producto creado con éxito"
"product_attribute_set_gui.product_attribute_set_successfully_deleted","Conjunto de atributos del producto eliminado correctamente"
"product_attribute_set_gui.add_attribute_set","AÑADIR CONJUNTO DE ATRIBUTOS"
"attribute_set_form","FORMULARIO DE CONJUNTO DE ATRIBUTOS"
"product_attribute_set_gui.attributes","Atributos"
"product_attribute_set_gui.name","Nombre"
"product_attribute_set_gui.view","Ver"
"product_attribute_set_gui.add","Añadir"
"product_attribute_set_gui.edit","Editar"
"product_attribute_set_gui.delete","Eliminar"
"Attribute Sets","Conjuntos de Atributos"
