"product_attribute_set_gui.attribute_set","Ensemble d'attributs"
"product_attribute_set_gui.name","Nom"
"product_attribute_set_gui.attributes","Attribut"
"product_attribute_set_gui.product_attribute_set","Ensembles d'Attributs de Produit"
"product_attribute_set_gui.choose_attribute_set","Choisir un ensemble d'attributs"
"product_attribute_set_gui.create_product_attribute_set","Créer un Ensemble d'Attributs de Produit"
"product_attribute_set_gui.edit_product_attribute_set","Modifier l'ensemble des attributs d'un produit"
"product_attribute_set_gui.product_attribute_set_list","Liste des Ensembles d'Attributs"
"product_attribute_set_gui.product_attribute_set_successfully_created","Ensemble d'Attributs de Produit créé avec succès"
"product_attribute_set_gui.product_attribute_set_successfully_deleted","L'ensemble des attributs du produit a été supprimé avec succès"
"product_attribute_set_gui.add_attribute_set","AJOUTER UN ENSEMBLE D'ATTRIBUTS"
"product_attribute_set_gui.attributes","Attributs"
"product_attribute_set_gui.name","Nom"
"product_attribute_set_gui.view","Voir"
"product_attribute_set_gui.add","Ajouter"
"product_attribute_set_gui.edit","Editar"
"product_attribute_set_gui.delete","Supprimer"
"Attribute Sets","Ensembles d'Attributs"
